Name,Developer,Producer,Genre,Operating System,Date Released
TrackMania Nations ESWC,Nadeo,"Deep Silver, Enlight, Focus Home Interactive, Digital Jesters",Racing,Microsoft Windows,28-Jan-06
TrackMania Nations Forever,Nadeo,"Focus Home Interactive, Valve",Racing,Microsoft Windows,16-Apr-08
TrackMania Sunrise,Nadeo,"Digital Jesters, Enlight",Racing,Microsoft Windows,Apr-05
TrackMania United,Nadeo,"Deep Silver, Enlight, Buka, QV Software, Valve",Racing,Microsoft Windows,17-Nov-06
Train Simulator,Dovetail Games,Dovetail Games,Simulation,Microsoft Windows,2009
Transformice,Atelier 801,Atelier 801,"Massively multiplayer online, Platform",Microsoft Windows,2010
Transistor,Supergiant Games,Supergiant Games,Action RPG,"Microsoft Windows, Linux, macOS",20-May-14
Trespasser,DreamWorks Interactive,Electronic Arts,"Action-adventure, first-person shooter",Microsoft Windows,28-Oct-98
Tribes 2,Dynamix,Sierra,First-person shooter,"Microsoft Windows, Linux",30-Mar-01
Tribes: Ascend,Hi-Rez Studios,Hi-Rez Studios,First-person shooter,Microsoft Windows,12-Apr-12
Tribes: Vengeance,Irrational Games,VU Games,First-person shooter,Microsoft Windows,5-Oct-04
Tropico,"PopTop Software, Feral Interactive","Gathering of Developers, MacSoft, Feral Interactive",Construction and management simulation,"Microsoft Windows, macOS",24-Apr-01
Tropico 2: Pirate Cove,Frog City Software,"Gathering of Developers, Take-Two Interactive",Construction and management simulation,"Microsoft Windows, macOS",28-Apr-03
Tropico 3,Haemimont Games,Kalypso Media,"Construction and management simulation, City-building game","Microsoft Windows, macOS",20-Oct-09
Tropico 4,Haemimont Games,Kalypso Media,"Construction and management simulation, City-building game","Microsoft Windows, macOS",26-Aug-11
Tropico 5,Haemimont Games,Kalypso Media,"Construction and management simulation, City-building game","Microsoft Windows, macOS",23-May-14
Tropico 6,Limbic Entertainment,Kalypso Media,"Construction and management simulation, City-building game","Microsoft Windows, macOS",29-Mar-19
True Love,Software House Parsley,"CD Bros., Otaku Publishing",Visual novel,"MS-DOS, Microsoft Windows",9-Jul-95
Tzar,Haemimont Games,"Take-Two Interactive, FX Interactive",Real-time strategy,Microsoft Windows,31-Mar-00
ÃœberSoldier,Burut Creative Team,Burut Creative Team,First-person shooter,Microsoft Windows,29-Mar-06
Undertale,Toby Fox,Toby Fox,RPG,"Microsoft Windows, Linux, macOS",15-Sep-15
Universe Sandbox,Giant Army,Giant Army,"Casual, simulation, indie",Microsoft Windows,29-Apr-11
Unreal,"Epic MegaGames, Digital Extremes",GT Interactive,First-person shooter,"Microsoft Windows, macOS",22-May-98
Unreal II: The Awakening,Legend Entertainment,Infogrames,First-person shooter,Microsoft Windows,3-Feb-03
Unreal Tournament,"Epic Games, Digital Extremes","GT Interactive, Infogrames, Redversiongamer",First-person shooter,"Microsoft Windows, Linux, macOS",30-Nov-99
Unreal Tournament 2003,"Epic Games, Digital Extremes",Infogrames,First-person shooter,"Microsoft Windows, Linux, macOS",1-Oct-02
Unreal Tournament 2004,"Epic Games, Digital Extremes, Psyonix, Streamline Studios","Atari, MacSoft, Midway Games",First-person shooter,"Microsoft Windows, Linux, macOS",16-Mar-04
